Well No.,Gas production (m3/d),Wellbore pressure (MPa),Wellhead pressure (MPa),Wellbore temperature (°C),Wellhead temperature (°C),Tubing inner diameter (mm),Well depth (m),Loading status
1,48466.72,,12.01,,,51,1613.532,Unloaded 
2,70010.63,,10.24,,,51,1613.532,Unloaded 
3,83939.15,,8.66,,,51,1613.532,Unloaded 
4,50873.07,,13.1,,,51,1595.245,Unloaded 
5,70831.62,,13.87,,,51,1595.245,Unloaded 
6,97952.6,,12.33,,,51,1595.245,Unloaded 
7,125668.1,,11.62,,,51,1595.245,Unloaded 
8,45182.76,,19.44,,,44,2328.254,Unloaded 
9,68595.13,,17.84,,,44,2328.254,Unloaded 
10,101859.4,,14.54,,,44,2328.254,Unloaded 
11,124847.1,,10.89,,,44,2328.254,Unloaded 
12,83203.09,,19.22,,,44,2278.269,Unloaded 
13,117203.4,,18.34,,,44,2278.269,Unloaded 
14,164764.2,,16.62,,,44,2278.269,Unloaded 
15,194518,,15.24,,,44,2278.269,Unloaded 
16,55006.33,,17.78,,,44,2299.909,Unloaded 
17,82382.1,,15.37,,,44,2299.909,Unloaded 
18,105936,,12.71,,,44,2299.909,Unloaded 
19,126970.4,,10.44,,,44,2299.909,Unloaded 
20,97273.16,,18.04,,,51,2362.999,Unloaded 
21,126574,,17.46,,,51,2362.999,Unloaded 
22,43880.5,,17.66,,,51,2487.656,Unloaded 
23,51071.24,,16.69,,,51,2487.656,Unloaded 
24,67519.35,,14.85,,,51,2487.656,Unloaded 
25,83486.19,,12.2,,,51,2487.656,Unloaded 
26,85609.44,,19.77,,,51,2380.372,Unloaded 
27,82835.06,,23.71,,,51,3413.593,Unloaded 
28,105483.1,,25.27,,,51,3456.263,Unloaded 
29,72813.32,,23.97,,,51,3482.475,Unloaded 
30,94866.81,,21.35,,,62,3460.835,Unloaded 
31,78390.39,,23.86,,,51,3471.503,Unloaded 
32,110125.9,,24.96,,,62,2648.583,Unloaded 
33,99566.27,,20.89,,,62,2694.301,Unloaded 
34,196641.3,,51.09,,,62,3611.704,Unloaded 
35,55459.29,,15.38,,,51,2131.972,Unloaded 
36,212438.2,,14.99,,,76,1744.895,Unloaded 
37,117486.5,,10.51,,,101,1680.89,Unloaded 
38,156073,,7.74,,,76,1883.572,Unloaded 
39,280184.1,,13.22,,,101,1838.159,Unloaded 
40,262971.6,,13.5,,,101,1817.129,Unloaded 
41,275937.6,,15.59,,,101,1800.061,Unloaded 
42,279136.6,,15.36,,,101,1808.595,Unloaded 
43,333123.8,,13.84,,,101,1808.595,Unloaded 
44,181835.1,,11.07,,,76,2087.778,Unloaded 
45,245504.3,,12.69,,,51,2238.952,Unloaded 
46,188374.7,,16.73,,,51,2238.952,Unloaded 
47,145400.2,,18.68,,,51,2238.952,Unloaded 
48,110890.3,,19.99,,,51,2238.952,Unloaded 
49,95574.56,,34.89,,,51,2731.789,Unloaded 
50,136737.3,,34.03,,,51,2731.789,Unloaded 
51,176116.5,,33.03,,,51,2731.789,Unloaded 
52,220591.5,,31.58,,,51,2731.789,Unloaded 
53,32216.78,,13.15,,,51,1613.532,Unloaded 
54,45494.17,,3.84,,,62,2295.337,Near Load Up
55,21940.25,,5.03,,,62,1951.844,Near Load Up
56,11805.27,,2.79,,,51,2053.947,Near Load Up
57,16080.08,,0.78,,,52,1989.942,Near Load Up
58,20156.72,,3.76,,,51,2042.06,Near Load Up
59,12513.02,,3.14,,,51,2063.395,Near Load Up
60,109361.5,,19.5,,,51,2380.372,Loaded Up 
61,35302.57,,5.27,,,62,2295.337,Loaded Up 
62,37171.03,,4.89,,,62,2295.337,Loaded Up 
63,38388.36,,5.7,,,62,2295.337,Loaded Up 
64,38643.15,,7.63,,,62,2295.337,Loaded Up 
65,162499.4,,2.21,,,188,999.0856,Loaded Up 
66,110125.9,,2.94,,,188,999.0856,Loaded Up 
67,78701.8,,3.2,,,188,999.0856,Loaded Up 
68,46371.78,,3.37,,,188,999.0856,Loaded Up 
69,11324,,3.48,,,51,1548.308,Loaded Up 
70,22648,,3.48,,,52,2194.453,Loaded Up 
71,121733,,4.59,,,51,2065.224,Loaded Up 
72,14155,,1.97,,,188,937.8238,Loaded Up 
73,13305.7,,1.48,,,188,685.7665,Loaded Up 
74,43172.75,,24.9,,,51,3413.593,Loaded Up 
75,73917.41,,23.06,,,76,3479.427,Loaded Up 
76,51354.34,,24.44,,,62,3479.732,Loaded Up 
77,50731.52,,24.34,,,51,3482.475,Loaded Up 
78,64008.91,,23.05,,,62,3460.835,Loaded Up 
79,71964.02,,25.3,,,62,2648.583,Loaded Up 
80,72105.57,,22.18,,,62,2694.301,Loaded Up 
81,98292.32,,56.67,,,62,3611.704,Loaded Up 
82,155733.3,,15.08,,,101,1744.895,Loaded Up 
83,85184.79,,11,,,101,1680.89,Loaded Up 
84,125724.7,,8.62,,,101,1883.572,Loaded Up 
85,137105.3,,8.2,,,101,1883.572,Loaded Up 
86,231717.4,,13.53,,,101,1838.159,Loaded Up 
87,189733.6,,14.1,,,101,1817.129,Loaded Up 
88,201255.8,,15.78,,,101,1800.061,Loaded Up 
89,180079.9,,16.25,,,101,1808.595,Loaded Up 
90,116750.4,,14.11,,,101,2087.778,Loaded Up 
