Well No.,Observed critical flowrate (m3/d),Wellbore pressure (MPa),Wellhead pressure (MPa),Tubing inner diameter (mm),Well depth (m),Loading status
1,21402.36,3.78,1.93,62,2380.98,Loaded Up
2,19533.9,2.41,1.45,62,2444.68,Loaded Up
3,16844.45,4.48,1.53,62,2571.47,Loaded Up
4,13815.28,4.48,1.07,62,2571.47,Loaded Up
5,16787.83,2.45,2.31,62,2451.08,Loaded Up
6,17354.03,2.17,1.03,62,1687.9,Loaded Up
7,18033.47,2.17,1.03,62,1687.9,Loaded Up
8,7643.7,1.21,0.52,62,1964.64,Loaded Up
9,17750.37,1.54,1,62,1836.64,Loaded Up
10,17552.2,1.54,0.99,62,1836.64,Loaded Up
11,18543.05,2.11,0.93,62,1980.8,Loaded Up
12,16787.83,1.38,0.9,62,2061.57,Loaded Up
13,18939.39,2.27,1.17,62,1730.57,Loaded Up
14,17891.92,3.1,1.79,62,2878.7,Loaded Up
15,27517.32,4.23,2.48,62,2128.62,Loaded Up
16,12739.5,1.25,0.76,62,1839.07,Loaded Up
17,11776.96,2.76,0.72,62,1626.94,Loaded Up
18,4925.94,4.48,0.52,62,2326.12,Loaded Up
19,9880.19,2.41,0.33,62,1628.16,Loaded Up
20,8124.97,1.96,0.39,62,1568.73,Loaded Up
21,18684.6,4.57,2.46,62,2366.05,Loaded Up
22,17976.85,4.57,1.59,62,2366.05,Loaded Up
23,8379.76,3.92,0.48,62,2263.94,Loaded Up
24,10927.66,1.16,0.38,62,1527.28,Loaded Up
25,9738.64,1.96,0.3,62,1750.99,Loaded Up
26,3114.1,6.89,0.7,62,1978.36,Loaded Up
27,6794.4,2.9,0.45,62,1963.73,Loaded Up
28,10616.25,2.9,0.66,62,1963.73,Loaded Up
29,10134.98,0.84,0.38,62,2006.1,Loaded Up
30,13900.21,1.77,0.77,62,1935.69,Loaded Up
31,11097.52,2.11,0.97,62,2048.77,Loaded Up
32,15230.78,5.38,0.94,62,2316.37,Loaded Up
33,9908.5,3.19,0.93,62,1865.28,Loaded Up
34,15032.61,1.25,0.6,62,2096.92,Loaded Up
35,16363.18,1.88,0.66,62,1998.17,Loaded Up
36,14523.03,2.5,0.72,62,1920.45,Loaded Up
37,18316.57,4.64,1.3,62,1448.03,Loaded Up
38,15230.78,1.39,0.86,62,1543.74,Loaded Up
39,10701.18,1.46,0.36,62,1915.57,Loaded Up
40,25620.55,3.03,2.21,62,1930.81,Loaded Up
41,20722.92,3.08,1.17,62,2572.08,Loaded Up
42,12116.68,3.1,0.55,62,2486.44,Loaded Up
43,19420.66,7.58,2.65,62,2593.11,Loaded Up
44,18911.08,5,1.1,62,2580.31,Loaded Up
45,16533.04,5,1.03,62,2580.31,Loaded Up
46,22676.31,5.02,1.65,62,2591.89,Loaded Up
47,21940.25,5.02,1.59,62,2591.89,Loaded Up
48,18118.4,5,1.17,62,2572.39,Loaded Up
49,12739.5,1.68,0.37,62,2071.32,Loaded Up
50,11805.27,1.06,0.44,62,1944.83,Loaded Up
