Well No.,Gas production (m3/d),Wellbore pressure (MPa),Wellhead pressure (MPa),Tubing inner diameter (mm),Well depth (m),Loading status
1,37,000,,0.4,112.014,2000,Loaded Up
2,45,000,,0.4,125.73,2000,Loaded Up
3,21,000,,0.55,71.374,2000,Loaded Up
4,26,000,,0.6,72.898,2000,Loaded Up
5,26,000,,0.6,75.946,2000,Loaded Up
6,24,000,,0.55,75.946,2000,Loaded Up
7,50,000,,0.6,72.898,2000,Loaded Up
8,61,000,,0.6,100.584,2000,Loaded Up
9,68,000,,0.6,124.206,2000,Loaded Up
10,71,000,,0.6,124.206,2000,Loaded Up
11,87,000,,0.6,124.206,2000,Loaded Up
12,26,000,,0.6,124.206,2000,Loaded Up
13,11,000,,0.6,75.946,2000,Loaded Up
14,55,000,,0.6,44.45,2000,Loaded Up
15,63,000,,0.6,124.206,2000,Loaded Up
16,71,000,,0.6,124.206,2000,Loaded Up
17,74,000,,0.6,124.206,2000,Loaded Up
18,63,000,,0.6,124.206,2000,Loaded Up
19,53,000,,0.7,124.206,2000,Loaded Up
20,100,000,,1.5,100.584,2000,Loaded Up
21,120,000,,2.4,112.014,3350,Loaded Up
22,220,000,,1.5,108.712,3350,Loaded Up
23,130,000,,4.6,154.686,3350,Loaded Up
24,200,000,,8.2,112.014,3350,Loaded Up
25,110,000,,1.5,112.014,3350,Loaded Up
26,310,000,,8.1,108.712,3350,Loaded Up
27,530,000,,4.6,154.686,3350,Loaded Up
28,390,000,,3.4,108.712,4120,Loaded Up
29,410,000,,5.1,108.712,4120,Loaded Up
30,370,000,,3.9,108.712,4120,Loaded Up
31,310,000,,2.7,108.712,4120,Loaded Up
32,350,000,,2.2,154.686,3025,Loaded Up
33,150,000,,4.6,154.686,3025,Loaded Up
34,130,000,,3.3,154.686,3025,Loaded Up
35,140,000,,2.2,154.686,3025,Loaded Up
36,170,000,,1.2,154.686,3025,Loaded Up
37,135,000,,1.95,154.686,3025,Loaded Up
38,140,000,,3.6,108.712,3200,Loaded Up
39,115,000,,2.4,108.712,3200,Loaded Up
40,110,000,,2.1,108.712,3200,Loaded Up
41,95,000,,1.8,112.014,3150,Loaded Up
42,100,000,,2,112.014,3175,Loaded Up
43,235,000,,2.52,112.014,3175,Loaded Up
44,200,000,,1.2,112.014,3175,Loaded Up
45,220,000,,1.2,112.014,3175,Loaded Up
46,160,000,,4.4,112.014,3175,Loaded Up
47,145,000,,4.5,112.014,3175,Loaded Up
48,120,000,,2.45,154.686,3300,Loaded Up
49,190,000,,2.7,156.972,3300,Loaded Up
50,150,000,,3.6,154.686,3300,Loaded Up
51,130,000,,2.5,112.014,2450,Loaded Up
52,200,000,,8.7,112.014,2450,Loaded Up
53,170,000,,1.9,112.014,3900,Loaded Up
54,80,000,,1.9,108.712,4100,Loaded Up
55,160,000,,2.5,108.712,4100,Loaded Up
56,84,000,,2.7,108.712,4100,Loaded Up
57,58,000,,3,108.712,3900,Loaded Up
58,126,000,,3.1,112.014,3400,Loaded Up
59,81,000,,2.32,112.014,3300,Loaded Up
60,113,000,,3.1,108.712,3350,Loaded Up
61,565,000,,11.1,118.618,2575,Loaded Up
62,737,000,,9.1,73.152,2541,Loaded Up
63,37,000,,0.4,108.712,2522,Loaded Up
64,45,000,,0.4,99.568,2557,Loaded Up
65,21,000,,0.55,112.014,2470,Loaded Up
66,26,000,,0.6,156.972,3042,Loaded Up
67,26,000,,0.6,154.686,2570,Loaded Up
